Date,Location,Cx. pipiens,Cs. annulata,Ae. geniculatus
14/04/2015,WB,2,0,0
,F1,1,0,0
,F2,0,0,0
,F3,0,0,0
15/04/2015,WB,1,0,0
,F1,0,0,0
,F2,0,0,0
,F3,0,0,0
16/04/2015,WB,13,0,0
,F1,0,0,0
,F2,0,0,0
,F3,0,0,0
17/04/2015,WB,2,0,0
,F1,0,0,0
,F2,NA,NA,NA
,F3,NA,NA,NA
21/04/2015,WB,5,0,0
,F1,1,0,0
,F2,NA,NA,NA
,F3,NA,NA,NA
22/04/2015,WB,2,0,0
,F1,0,0,0
,F2,NA,NA,NA
,F3,NA,NA,NA
23/04/2015,WB,1,0,0
,F1,0,0,0
,F2,NA,NA,NA
,F3,NA,NA,NA
24/04/2015,WB,1,0,0
24/04/2015,F1,0,0,0
24/04/2015,F2,NA,NA,NA
24/04/2015,F3,NA,NA,NA
27/04/2015,WB,1,0,0
27/04/2015,F1,0,0,0
27/04/2015,F2,0,0,0
27/04/2015,F3,0,0,0
28/04/2015,WB,1,0,0
28/04/2015,F1,1,0,0
28/04/2015,F2,0,0,0
28/04/2015,F3,0,0,0
29/04/2015,WB,0,0,0
29/04/2015,F1,0,0,0
29/04/2015,F2,NA,NA,NA
29/04/2015,F3,0,0,0
30/04/2015,WB,NA,NA,NA
30/04/2015,F1,NA,NA,NA
30/04/2015,F2,NA,NA,NA
30/04/2015,F3,NA,NA,NA
04/05/2015,WB,NA,NA,NA
04/05/2015,F1,NA,NA,NA
04/05/2015,F2,NA,NA,NA
04/05/2015,F3,NA,NA,NA
05/05/2015,WB,NA,NA,NA
05/05/2015,F1,NA,NA,NA
05/05/2015,F2,NA,NA,NA
05/05/2015,F3,NA,NA,NA
06/05/2015,WB,0,0,0
06/05/2015,F1,0,0,0
06/05/2015,F2,0,0,0
06/05/2015,F3,0,0,0
07/05/2015,WB,0,0,0
07/05/2015,F1,0,0,0
07/05/2015,F2,0,0,0
07/05/2015,F3,0,0,0
11/05/2015,WB,6,0,0
11/05/2015,F1,0,0,0
11/05/2015,F2,0,0,0
11/05/2015,F3,0,0,0
12/05/2015,WB,0,0,0
12/05/2015,F1,0,0,0
12/05/2015,F2,0,0,0
12/05/2015,F3,0,0,0
13/05/2015,WB,3,0,0
13/05/2015,F1,0,0,0
13/05/2015,F2,0,0,0
13/05/2015,F3,0,0,0
14/05/2015,WB,0,0,0
14/05/2015,F1,0,0,0
14/05/2015,F2,0,0,0
14/05/2015,F3,0,0,0
18/05/2015,WB,0,0,0
18/05/2015,F1,0,0,0
18/05/2015,F2,0,0,0
18/05/2015,F3,0,0,0
19/05/2015,WB,0,0,0
19/05/2015,F1,0,0,0
19/05/2015,F2,0,0,0
19/05/2015,F3,0,0,0
20/05/2015,WB,0,0,0
20/05/2015,F1,0,0,0
20/05/2015,F2,0,0,0
20/05/2015,F3,0,0,0
21/05/2015,WB,2,0,0
21/05/2015,F1,1,0,0
21/05/2015,F2,0,0,0
21/05/2015,F3,0,0,0
26/05/2015,WB,0,0,0
26/05/2015,F1,0,0,0
26/05/2015,F2,0,0,0
26/05/2015,F3,1,0,0
27/05/2015,WB,4,0,0
27/05/2015,F1,0,0,0
27/05/2015,F2,0,0,0
27/05/2015,F3,0,0,0
28/05/2015,WB,2,1,0
28/05/2015,F1,0,0,0
28/05/2015,F2,0,0,0
28/05/2015,F3,1,0,0
01/06/2015,WB,0,0,0
01/06/2015,F1,0,0,0
01/06/2015,F2,0,0,0
01/06/2015,F3,0,0,0
02/06/2015,WB,5,1,0
02/06/2015,F1,1,0,0
02/06/2015,F2,1,0,0
02/06/2015,F3,0,0,0
03/06/2015,WB,7,1,0
03/06/2015,F1,0,1,1
