Date,Butt1_Larvae_N_L1/2,Butt1_Larvae_N_L3/4,Butt1_Larvae_E_L1/2,Butt1_Larvae_E_L3/4,Butt1_Larvae_S_L1/2,Butt1_Larvae_S_L3/4,Butt1_Larvae_W_L1/2,Butt1_Larvae_W_L3/4,Butt1_Larvae_Total_L1/2,Butt1_Larvae_Total_L3/4,Butt1_Pupae_N,Butt1_Pupae_E,Butt1_Pupae_S,Butt1_Pupae_W,Butt1_Pupae_Total,Butt2_Larvae_N_L1/2,Butt2_Larvae_N_L3/4,Butt2_Larvae_E_L1/2,Butt2_Larvae_E_L3/4,Butt2_Larvae_S_L1/2,Butt2_Larvae_S_L3/4,Butt2_Larvae_W_L1/2,Butt2_Larvae_W_L3/4,Butt2_Larvae_Total_L1/2,Butt2_Larvae_Total_L3/4,Butt2_Pupae_N,Butt2_Pupae_E,Butt2_Pupae_S,Butt2_Pupae_W,Butt2_Pupae_Total,Butt3_Larvae_N_L1/2,Butt3_Larvae_N_L3/4,Butt3_Larvae_E_L1/2,Butt3_Larvae_E_L3/4,Butt3_Larvae_S_L1/2,Butt3_Larvae_S_L3/4,Butt3_Larvae_W_L1/2,Butt3_Larvae_W_L3/4,Butt3_Larvae_Total_L1/2,Butt3_Larvae_Total_L3/4,Butt3_Pupae_N,Butt3_Pupae_E,Butt3_Pupae_S,Butt3_Pupae_W,Butt3_Pupae_Total,Butt4_Larvae_N_L1/2,Butt4_Larvae_N_L3/4,Butt4_Larvae_E_L1/2,Butt4_Larvae_E_L3/4,Butt4_Larvae_S_L1/2,Butt4_Larvae_S_L3/4,Butt4_Larvae_W_L1/2,Butt4_Larvae_W_L3/4,Butt4_Larvae_Total_L1/2,Butt4_Larvae_Total_L3/4,Butt4_Pupae_N,Butt4_Pupae_E,Butt4_Pupae_S,Butt4_Pupae_W,Butt4_Pupae_Total
08/04/2015,,,,,,,,,0,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,0,,,,,,0
10/04/2015,,,,,,,,,0,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,0,,,,,,0
13/04/2015,,,,,,,,,0,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,0,,,,,,0
15/04/2015,,,,,,,,,254,0,,,,,0,,,,,,,,,701,0,,,,,0,,,,,,,,,85,0,,,,,0,,,,,,,,,534,0,,,,,0
17/04/2015,,,,,,,,,369,0,,,,,0,,,,,,,,,942,29,,,,,0,,,,,,,,,101,0,,,,,0,,,,,,,,,575,0,,,,,0
20/04/2015,428,2,106,2,30,0,65,5,629,9,0,0,0,0,0,594,79,127,14,163,17,269,39,1153,149,0,0,0,0,0,55,0,22,0,21,0,38,0,136,0,0,0,0,0,0,99,7,112,17,236,8,163,18,610,50,0,0,0,0,0
23/04/2015,268,15,117,9,61,4,330,14,776,42,0,0,0,0,0,1387,178,258,105,174,136,92,119,1911,538,0,0,0,0,0,730,13,50,0,621,47,1099,6,2500,66,0,0,0,0,0,304,30,153,145,835,295,1306,191,2598,661,0,0,0,0,0
24/04/2015,77,1,212,20,174,1,63,12,526,34,0,0,0,0,0,272,57,265,75,124,15,433,91,1094,238,0,0,0,0,0,435,2,953,11,1561,18,611,21,3560,52,0,0,0,0,0,633,143,815,221,476,51,541,186,2465,601,0,0,0,0,0
27/04/2015,4388,166,1879,344,2764,160,1608,139,10639,809,0,3,0,0,3,1839,144,1780,212,4774,109,1956,276,10349,741,0,1,4,4,9,3895,139,1658,128,16301,255,5363,153,27217,675,0,0,0,0,0,5147,214,3337,463,2640,354,3052,807,14176,1838,0,0,0,0,0
29/04/2015,200,242,551,676,1815,4028,1133,988,3699,5934,2,8,7,3,20,513,315,682,318,1031,735,189,178,2415,1546,0,7,38,5,50,1703,465,2252,927,1014,326,1037,385,6006,2103,0,1,0,0,1,113,206,38,126,522,445,3571,1493,4244,2270,0,0,0,0,0
01/05/2015,808,1042,652,1210,200,558,255,499,1915,3309,1,2,12,8,23,822,565,405,266,195,230,1608,657,3030,1718,36,6,24,13,79,1319,446,702,263,1754,625,1455,361,5230,1695,0,0,0,0,0,451,239,166,70,444,254,441,204,1502,767,7,1,1,1,10
04/05/2015,90,76,306,212,1531,365,265,96,2192,749,9,10,19,1,39,140,110,225,184,2525,804,339,261,3229,1359,49,39,184,24,296,906,674,768,647,1063,342,372,518,3109,2181,5,8,3,2,18,148,116,727,549,526,356,248,288,1649,1309,13,12,12,6,43
06/05/2015,102,175,188,166,156,468,271,339,717,1148,21,5,9,18,53,325,390,183,217,147,251,164,500,819,1358,117,82,54,48,301,303,545,188,1044,280,266,625,441,1396,2296,12,21,15,7,55,281,404,393,414,252,372,114,402,1040,1592,46,37,11,17,111
08/05/2015,377,462,557,514,397,624,415,369,1746,1969,11,13,27,17,68,182,234,187,209,174,472,171,531,714,1446,50,20,74,86,230,566,516,133,807,657,436,534,536,1890,2295,34,39,24,54,151,343,623,169,197,209,238,274,400,995,1458,12,173,31,60,276
11/05/2015,51,106,78,147,286,1309,14,44,429,1606,8,9,15,3,35,171,289,306,394,1051,266,163,1014,1691,1963,13,12,45,8,78,263,263,247,113,183,105,302,277,995,758,8,5,4,5,22,88,207,94,250,244,487,92,244,518,1188,42,33,155,46,276
13/05/2015,43,171,34,195,229,554,241,1104,547,2024,0,5,134,114,253,101,224,125,201,1428,394,346,324,2000,1143,6,5,69,31,111,463,196,312,162,401,150,372,175,1548,683,11,17,3,7,38,325,305,203,270,403,286,128,82,1059,943,6,4,9,5,24
15/05/2015,23,33,23,31,45,120,159,340,250,524,2,2,5,3,12,60,27,134,62,645,426,315,142,1154,657,4,2,3,2,11,329,184,217,133,270,134,382,175,1198,626,4,0,3,2,9,10,9,52,36,237,156,115,70,414,271,3,4,2,2,11
18/05/2015,32,61,15,51,10,27,12,151,69,290,1,3,1,2,7,123,116,115,126,153,261,130,178,521,681,2,3,3,4,12,235,203,193,150,364,382,401,230,1193,965,4,4,6,0,14,146,75,30,15,157,79,98,40,431,209,0,1,0,0,1
20/05/2015,0,5,2,4,7,5,7,25,16,39,0,0,1,2,3,52,52,26,36,120,178,121,109,319,375,1,0,4,0,5,67,54,167,55,81,50,150,123,465,282,1,2,1,3,7,116,21,465,122,99,29,20,3,700,175,0,2,1,1,4
22/05/2015,5,27,1,5,6,55,2,10,14,97,0,0,1,0,1,86,135,18,47,171,147,30,49,305,378,3,0,4,0,7,58,81,41,47,68,65,45,36,212,229,1,1,0,0,2,94,78,27,29,12,10,17,12,150,129,0,0,0,0,0
26/05/2015,57,2,34,0,65,1,165,1,321,4,1,1,2,1,5,42,86,15,26,34,61,62,42,153,215,0,0,0,0,0,26,68,41,22,84,159,121,79,272,328,3,0,4,2,9,34,49,5,29,2,23,8,10,49,111,1,2,0,0,3
29/05/2015,41,7,51,7,105,39,76,13,273,66,0,0,4,1,5,20,3,39,10,25,7,10,8,94,28,0,0,0,0,0,79,73,18,11,190,63,165,100,452,247,6,2,17,8,33,16,5,32,8,130,14,15,6,193,33,0,3,0,0,3
01/06/2015,44,124,35,36,1332,1643,19,48,1430,1851,0,0,2,0,2,27,18,30,7,24,20,521,313,602,358,0,0,0,4,4,204,57,65,14,193,52,234,49,696,172,3,0,2,3,8,17,7,27,10,134,18,75,5,253,40,0,1,0,1,2
03/06/2015,204,129,37,141,968,370,199,344,1408,984,0,0,0,1,1,328,175,19,18,328,175,188,265,863,633,1,2,1,5,9,147,53,167,143,157,71,211,46,682,313,7,7,2,3,19,248,16,163,14,268,36,303,6,982,72,4,6,36,0,46
05/06/2015,179,79,39,71,31,43,213,87,462,280,4,1,1,1,7,25,26,15,35,10,13,209,125,259,199,4,1,1,3,9,140,110,297,135,264,68,793,197,1494,510,1,3,3,2,9,1535,95,126,12,422,72,518,18,2601,197,7,7,5,6,25
08/06/2015,106,222,473,289,60,80,72,41,711,632,22,32,2,9,65,42,26,29,73,95,107,30,15,196,221,0,0,4,1,5,208,103,280,83,359,176,636,100,1483,462,11,5,10,2,28,406,38,45,39,95,108,2843,147,3389,332,0,0,1,3,4
10/06/2015,619,267,28,29,32,22,31,11,710,329,19,2,1,0,22,114,11,15,26,33,14,90,23,252,74,3,0,1,2,6,46,72,420,481,168,332,569,51,1203,936,6,23,5,2,36,30,10,238,30,586,246,2075,509,2929,795,0,0,1,1,2
