Trap Date,Genus,Specific Epithet,Gender,IDd,Count,Trap Region,Include,Comparison Group,Latitude,Longitude,Location
"Aug 26, 2014",Culex,tarsalis,Female,,2,Rural-West,,Outer,53.55902000,-114.00119000,POINT (-114.00119 53.55902)
"Jun 11, 2019",Aedes,euedes,Female,,1,Outer Community-East,,Outer,53.60672180,-113.22135870,POINT (-113.2213587 53.6067218)
"Jun 16, 2015",Culiseta,alaskaensis,Female,,2,Outer Community-South1,,Outer,53.33332690,-113.53137370,POINT (-113.5313737 53.3333269)
"Aug 20, 2013",Culiseta,morsitans,Female,,3,Outer Community-North,,Outer,53.77416300,-113.58922100,POINT (-113.589221 53.774163)
"May 20, 2014",Male,UnID,Male,UnID,2,Rural-North West,,Peripheral,53.61923170,-113.71279840,POINT (-113.7127984 53.6192317)
"Aug 29, 2017",Aedes,vexans,Female,,95,Rural-North West,,Peripheral,53.61923170,-113.71279840,POINT (-113.7127984 53.6192317)
"Aug 09, 1994",Anopheles,earlei,Female,,12,River Valley-East-P1,,Core,53.58141700,-113.37456110,POINT (-113.3745611 53.581417)
"Sep 22, 2020",Culiseta,minnesotae,Female,,2,River Valley-West,,Core,53.50406840,-113.57012630,POINT (-113.5701263 53.5040684)
"Aug 14, 1990",Aedes,flavescens,Female,,2,Rural-North West,,Peripheral,53.61722100,-113.71618200,POINT (-113.716182 53.617221)
"Jun 14, 2022",Aedes,Black legs,Female,UnID,1,Outer Community-West,,Outer,53.40827000,-113.76136000,POINT (-113.76136 53.40827)
"Aug 23, 1994",Aedes,vexans,Female,,532,River Valley-West-P1,,Core,53.51211760,-113.54965540,POINT (-113.5496554 53.5121176)
"May 31, 2016",Culiseta,inornata,Female,,9,Rural-North East,,Peripheral,53.65769280,-113.33211780,POINT (-113.3321178 53.6576928)
"Jul 25, 2000",Aedes,vexans,Female,,324,Residential-North,,Core,53.57959700,-113.49643600,POINT (-113.496436 53.579597)
"Sep 12, 2017",Male,UnID,Male,UnID,26,Residential-North,,Core,53.57959700,-113.49643600,POINT (-113.496436 53.579597)
"Aug 18, 1992",Culiseta,inornata,Female,,7,River Valley-West,,Core,53.50406840,-113.57012630,POINT (-113.5701263 53.5040684)
"Aug 22, 1995",Culiseta,inornata,Female,,2,River Valley-West-P1,,Core,53.51211760,-113.54965540,POINT (-113.5496554 53.5121176)
"Aug 19, 2014",Aedes,spencerii,Female,,6,Outer Community-North East-GC1,,Outer,53.73069000,-113.27288000,POINT (-113.27288 53.73069)
"Jul 28, 2009",Aedes,euedes,Female,,2,Rural-North West,,Peripheral,53.61722100,-113.71618200,POINT (-113.716182 53.617221)
"Aug 14, 2001",Aedes,dorsalis,Female,,94,Rural-North East,,Peripheral,53.65769280,-113.33211780,POINT (-113.3321178 53.6576928)
"Aug 21, 2012",Aedes,vexans,Female,,160,Outer Community-North,,Outer,53.77447400,-113.59534400,POINT (-113.595344 53.774474)
"Aug 11, 2015",Male,UnID,Male,UnID,4,Outer Community-North West,,Outer,53.69135000,-113.98368000,POINT (-113.98368 53.69135)
