Date,Time,Butt 1,Butt 2,Butt 3,Butt 4
03/03/2015,00:00:00,2.73,2.837,1.764,3.367
03/03/2015,01:00:00,1.98,1.872,1.221,2.517
03/03/2015,02:00:00,1.112,1.221,0.784,1.872
03/03/2015,03:00:00,1.112,1.221,0.784,1.656
03/03/2015,04:00:00,0.893,1.003,0.784,1.548
03/03/2015,05:00:00,1.33,1.439,1.221,1.764
03/03/2015,06:00:00,0.784,1.003,0.784,1.33
03/03/2015,07:00:00,1.33,1.548,1.439,1.656
03/03/2015,08:00:00,2.517,2.624,2.73,2.73
03/03/2015,09:00:00,2.73,4.934,5.244,6.268
03/03/2015,10:00:00,7.079,6.674,9.275,8.779
03/03/2015,11:00:00,9.373,9.768,9.472,9.472
03/03/2015,12:00:00,10.455,11.916,10.455,10.748
03/03/2015,13:00:00,11.041,10.651,9.373,10.944
03/03/2015,14:00:00,12.304,12.401,9.768,11.819
03/03/2015,15:00:00,12.497,11.819,7.882,10.748
03/03/2015,16:00:00,10.259,10.259,6.674,9.571
03/03/2015,17:00:00,8.68,8.779,5.86,8.182
03/03/2015,18:00:00,7.28,7.381,4.831,6.978
03/03/2015,19:00:00,6.268,6.268,4.102,6.064
03/03/2015,20:00:00,5.45,5.347,3.578,5.347
03/03/2015,21:00:00,4.727,4.831,3.155,4.831
03/03/2015,22:00:00,4.415,4.207,2.73,4.415
03/03/2015,23:00:00,3.472,3.472,1.98,3.788
04/03/2015,00:00:00,2.943,2.943,1.548,3.261
04/03/2015,01:00:00,1.872,1.656,1.003,2.41
04/03/2015,02:00:00,1.764,1.548,0.784,2.624
04/03/2015,03:00:00,0.343,0.343,0.453,1.548
04/03/2015,04:00:00,0.121,0.343,0.232,0.563
04/03/2015,05:00:00,0.121,0.232,0.121,0.563
04/03/2015,06:00:00,0.01,0.232,-0.102,0.343
04/03/2015,07:00:00,0.121,0.232,0.121,0.453
04/03/2015,08:00:00,0.453,0.563,0.784,1.439
04/03/2015,09:00:00,1.221,1.656,2.41,5.347
04/03/2015,10:00:00,7.481,5.962,8.481,9.077
04/03/2015,11:00:00,9.472,10.455,10.063,10.553
04/03/2015,12:00:00,11.528,12.594,10.846,11.916
04/03/2015,13:00:00,11.041,10.846,9.571,10.357
04/03/2015,14:00:00,11.139,11.041,9.669,10.161
04/03/2015,15:00:00,12.11,12.11,9.571,10.455
04/03/2015,16:00:00,11.334,10.259,8.382,9.669
04/03/2015,17:00:00,9.176,9.077,7.481,8.779
04/03/2015,18:00:00,7.481,7.882,5.86,7.582
04/03/2015,19:00:00,6.37,6.877,5.037,6.674
04/03/2015,20:00:00,5.45,5.962,4.311,5.962
04/03/2015,21:00:00,4.623,5.141,3.472,5.141
04/03/2015,22:00:00,4.207,4.623,2.943,4.623
04/03/2015,23:00:00,3.367,3.893,2.517,3.998
05/03/2015,00:00:00,2.624,2.837,1.764,3.367
05/03/2015,01:00:00,1.872,1.872,1.112,2.195
05/03/2015,02:00:00,0.674,1.003,0.453,1.764
