es.id;publication_number;year;geographic_continent;geographic_country;latitude;longitude;response_var;mosquito_species;mosquito_genus;life_stage;n;r;z;var_z;vector_status
1;3;2021;south_america;brazil;-7,639679;-72,891842;abundance;darlingi;anopheles;immature;37;0,086764502;0,086983215;0,029411765;B
2;9;2021;north_america;missouri;38,518927;-90,561021;abundance;albopictus;aedes;immature;15;0,845509858;1,240190286;0,083333333;E
3;9;2021;north_america;missouri;38,518927;-90,561021;abundance;triseriatus;aedes;immature;15;-0,887436535;-1,409728828;0,083333333;B
4;9;2021;north_america;missouri;38,518927;-90,561021;abundance;japonicus;aedes;immature;15;-0,653003615;-0,780517462;0,083333333;D
5;9;2021;north_america;missouri;38,518927;-90,561021;abundance;hendersoni;aedes;immature;15;-0,750960151;-0,975153326;0,083333333;A
6;10;2021;north_america;panama;8,943994;-82,11361;abundance;albopictus;aedes;adult;37;-0,08642728;-0,086643444;0,029411765;E
7;10;2021;north_america;panama;8,943994;-82,11361;abundance;aegypti;aedes;adult;37;0,006589257;0,006589352;0,029411765;D
8;13;2021;south_america;brazil;-6,830736;-54,960501;abundance;darlingi;anopheles;adult;79;-0,1;-0,100335348;0,013157895;B
9;13;2021;south_america;brazil;-6,830736;-54,960501;diversity;NA;NA;adult;79;0,3;0,309519604;0,013157895;NA
10;16;2020;europe;germany;51,105435;6,854605;presence;japonicus;aedes;immature;825;-0,11917684;-0,119745925;0,001216545;D
11;16;2020;europe;germany;51,105435;6,854605;presence;pipiens;culex;immature;825;-0,082796829;-0,082986811;0,001216545;D
12;16;2020;europe;germany;51,105435;6,854605;presence;plumbeus;anopheles;immature;825;-0,396787092;-0,419829864;0,001216545;A
13;18;2020;south_america;brazil;-22,75575;-42,872676;diversity;NA;NA;adult;28;0,38052629;0,400674906;0,04;NA
14;21;2020;africa;tanzania;-6,041954;39,211409;presence;aegypti;aedes;immature;1314;-0,130713864;-0,131466054;0,000762777;D
15;24;2020;north_america;connecticut;41,5;-72,5;diversity;NA;NA;adult;87;-0,66;-0,792813632;0,011904762;NA
16;25;2020;north_america;st_kitts;17,352477;-62,777635;abundance;taeniorhynchus;aedes;adult;30;0,1867226;0,188939206;0,037037037;C
17;25;2020;north_america;st_kitts;17,352477;-62,777635;abundance;quinquefasciatus;culex;adult;30;0,2917139;0,300438556;0,037037037;D
18;25;2020;north_america;st_kitts;17,352477;-62,777635;abundance;magnus;deinocerites;adult;30;0,1698062;0,171467103;0,037037037;A
19;25;2020;north_america;st_kitts;17,352477;-62,777635;abundance;aegypti;aedes;adult;30;0,2427173;0,2476595;0,037037037;D
20;26;2020;europe;italy;40,794232;13,427134;abundance;albopictus;aedes;adult;10;0,4523738;0,487680831;0,142857143;E
21;26;2020;europe;italy;40,794232;13,427134;abundance;pipiens;culex;adult;10;-0,00074288;-0,000742881;0,142857143;D
22;29;2020;south_america;colombia;7,723731;-74,7896;diversity;NA;NA;adult;5;-0,95;-1,831780823;0,5;NA
23;30;2020;europe;spain;42,8659;-2,610862;abundance;pipiens;culex;adult;10;0,645490874;0,767529966;0,142857143;D
24;30;2020;europe;spain;42,8659;-2,610862;diversity;NA;NA;adult;10;-0,745355994;-0,962423653;0,142857143;NA
25;33;2020;south_america;brazil;-1,808444;-60,313;abundance;albopictus;aedes;immature;36;0,340709742;0,354895261;0,03030303;E
26;33;2020;south_america;brazil;-1,808444;-60,313;abundance;nigripalpus;culex;immature;36;-0,07010028;-0,070215445;0,03030303;B
27;33;2020;south_america;brazil;-1,808444;-60,313;abundance;urichii;culex;immature;36;-0,338489094;-0,352385123;0,03030303;A
28;33;2020;south_america;brazil;-1,808444;-60,313;abundance;durhamii;limatus;immature;36;0,373023548;0,391930787;0,03030303;A
29;33;2020;south_america;brazil;-1,808444;-60,313;abundance;flavisetosus;limatus;immature;36;-0,206906159;-0,20993696;0,03030303;A
30;33;2020;south_america;brazil;-1,808444;-60,313;abundance;tridentatus;sabethes;immature;36;0,265700268;0,27223176;0,03030303;A
31;33;2020;south_america;brazil;-1,808444;-60,313;abundance;haemorrhoidalis;toxorhynchites;immature;36;0,125856053;0,12652695;0,03030303;A
