Country,Province,District,Rural/Urban,Date,Malaria_cases
Zambia,Southern,Chikankata,Rural,1/1/14,0
Zambia,Southern,Chikankata,Rural,1/1/14,288
Zambia,Southern,Chikankata,Rural,2/1/14,0
Zambia,Southern,Chikankata,Rural,2/1/14,251
Zambia,Southern,Chikankata,Rural,3/1/14,0
Zambia,Southern,Chikankata,Rural,3/1/14,391
Zambia,Southern,Chikankata,Rural,4/1/14,0
Zambia,Southern,Chikankata,Rural,4/1/14,423
Zambia,Southern,Chikankata,Rural,5/1/14,0
Zambia,Southern,Chikankata,Rural,5/1/14,283
Zambia,Southern,Chikankata,Rural,6/1/14,0
Zambia,Southern,Chikankata,Rural,6/1/14,54
Zambia,Southern,Chikankata,Rural,7/1/14,0
Zambia,Southern,Chikankata,Rural,7/1/14,61
Zambia,Southern,Chikankata,Rural,8/1/14,0
Zambia,Southern,Chikankata,Rural,8/1/14,49
Zambia,Southern,Chikankata,Rural,9/1/14,0
Zambia,Southern,Chikankata,Rural,9/1/14,55
Zambia,Southern,Chikankata,Rural,10/1/14,0
Zambia,Southern,Chikankata,Rural,10/1/14,81
Zambia,Southern,Chikankata,Rural,11/1/14,0
Zambia,Southern,Chikankata,Rural,11/1/14,54
Zambia,Southern,Chikankata,Rural,12/1/14,0
Zambia,Southern,Chikankata,Rural,12/1/14,33
Zambia,Southern,Chikankata,Rural,1/1/15,0
Zambia,Southern,Chikankata,Rural,1/1/15,87
Zambia,Southern,Chikankata,Rural,2/1/15,0
Zambia,Southern,Chikankata,Rural,2/1/15,77
Zambia,Southern,Chikankata,Rural,3/1/15,0
Zambia,Southern,Chikankata,Rural,3/1/15,68
Zambia,Southern,Chikankata,Rural,4/1/15,0
Zambia,Southern,Chikankata,Rural,4/1/15,82
Zambia,Southern,Chikankata,Rural,5/1/15,0
Zambia,Southern,Chikankata,Rural,5/1/15,67
Zambia,Southern,Chikankata,Rural,6/1/15,0
Zambia,Southern,Chikankata,Rural,6/1/15,32
Zambia,Southern,Chikankata,Rural,7/1/15,0
Zambia,Southern,Chikankata,Rural,7/1/15,29
Zambia,Southern,Chikankata,Rural,8/1/15,0
Zambia,Southern,Chikankata,Rural,8/1/15,17
Zambia,Southern,Chikankata,Rural,9/1/15,0
Zambia,Southern,Chikankata,Rural,9/1/15,28
Zambia,Southern,Chikankata,Rural,10/1/15,0
Zambia,Southern,Chikankata,Rural,10/1/15,41
Zambia,Southern,Chikankata,Rural,11/1/15,0
Zambia,Southern,Chikankata,Rural,11/1/15,13
Zambia,Southern,Chikankata,Rural,12/1/15,0
Zambia,Southern,Chikankata,Rural,12/1/15,31
Zambia,Southern,Chikankata,Rural,1/1/16,0
Zambia,Southern,Chikankata,Rural,1/1/16,40
Zambia,Southern,Chikankata,Rural,2/1/16,0
Zambia,Southern,Chikankata,Rural,2/1/16,48
Zambia,Southern,Chikankata,Rural,3/1/16,0
Zambia,Southern,Chikankata,Rural,3/1/16,124
Zambia,Southern,Chikankata,Rural,4/1/16,0
Zambia,Southern,Chikankata,Rural,4/1/16,169
Zambia,Southern,Chikankata,Rural,5/1/16,0
Zambia,Southern,Chikankata,Rural,5/1/16,97
Zambia,Southern,Chikankata,Rural,6/1/16,0
Zambia,Southern,Chikankata,Rural,6/1/16,35
Zambia,Southern,Chikankata,Rural,7/1/16,0
Zambia,Southern,Chikankata,Rural,7/1/16,30
Zambia,Southern,Chikankata,Rural,8/1/16,0
Zambia,Southern,Chikankata,Rural,8/1/16,23
Zambia,Southern,Chikankata,Rural,9/1/16,0
Zambia,Southern,Chikankata,Rural,9/1/16,26
Zambia,Southern,Chikankata,Rural,10/1/16,0
Zambia,Southern,Chikankata,Rural,10/1/16,24
Zambia,Southern,Chikankata,Rural,11/1/16,0
Zambia,Southern,Chikankata,Rural,11/1/16,10
Zambia,Southern,Chikankata,Rural,12/1/16,0
Zambia,Southern,Chikankata,Rural,12/1/16,49
Zambia,Southern,Chikankata,Rural,1/1/17,0
Zambia,Southern,Chikankata,Rural,1/1/17,53
Zambia,Southern,Chikankata,Rural,2/1/17,0
Zambia,Southern,Chikankata,Rural,2/1/17,42
Zambia,Southern,Chikankata,Rural,3/1/17,0
Zambia,Southern,Chikankata,Rural,3/1/17,47
Zambia,Southern,Chikankata,Rural,4/1/17,0
Zambia,Southern,Chikankata,Rural,4/1/17,65
Zambia,Southern,Chikankata,Rural,5/1/17,0
Zambia,Southern,Chikankata,Rural,5/1/17,62
Zambia,Southern,Chikankata,Rural,6/1/17,0
Zambia,Southern,Chikankata,Rural,6/1/17,26
Zambia,Southern,Chikankata,Rural,7/1/17,0
Zambia,Southern,Chikankata,Rural,7/1/17,20
Zambia,Southern,Chikankata,Rural,8/1/17,0
Zambia,Southern,Chikankata,Rural,8/1/17,12
Zambia,Southern,Chikankata,Rural,9/1/17,0
Zambia,Southern,Chikankata,Rural,9/1/17,9
Zambia,Southern,Chikankata,Rural,10/1/17,0
Zambia,Southern,Chikankata,Rural,10/1/17,19
Zambia,Southern,Chikankata,Rural,11/1/17,0
Zambia,Southern,Chikankata,Rural,11/1/17,25
Zambia,Southern,Chikankata,Rural,12/1/17,0
Zambia,Southern,Chikankata,Rural,12/1/17,59
Zambia,Southern,Chikankata,Rural,1/1/18,0
Zambia,Southern,Chikankata,Rural,1/1/18,106
Zambia,Southern,Chikankata,Rural,2/1/18,0
Zambia,Southern,Chikankata,Rural,2/1/18,51
Zambia,Southern,Chikankata,Rural,1/1/14,577
Zambia,Southern,Chikankata,Rural,1/1/14,0
Zambia,Southern,Chikankata,Rural,2/1/14,527
Zambia,Southern,Chikankata,Rural,2/1/14,0
Zambia,Southern,Chikankata,Rural,3/1/14,655
Zambia,Southern,Chikankata,Rural,3/1/14,0
Zambia,Southern,Chikankata,Rural,4/1/14,754
Zambia,Southern,Chikankata,Rural,4/1/14,0
Zambia,Southern,Chikankata,Rural,5/1/14,478
Zambia,Southern,Chikankata,Rural,5/1/14,0
Zambia,Southern,Chikankata,Rural,6/1/14,203
Zambia,Southern,Chikankata,Rural,6/1/14,0
Zambia,Southern,Chikankata,Rural,7/1/14,78
Zambia,Southern,Chikankata,Rural,7/1/14,0
Zambia,Southern,Chikankata,Rural,8/1/14,60
Zambia,Southern,Chikankata,Rural,8/1/14,0
Zambia,Southern,Chikankata,Rural,9/1/14,107
Zambia,Southern,Chikankata,Rural,9/1/14,0
Zambia,Southern,Chikankata,Rural,10/1/14,119
Zambia,Southern,Chikankata,Rural,10/1/14,0
Zambia,Southern,Chikankata,Rural,11/1/14,103
Zambia,Southern,Chikankata,Rural,11/1/14,0
Zambia,Southern,Chikankata,Rural,12/1/14,168
Zambia,Southern,Chikankata,Rural,12/1/14,0
Zambia,Southern,Chikankata,Rural,1/1/15,343
Zambia,Southern,Chikankata,Rural,1/1/15,0
Zambia,Southern,Chikankata,Rural,2/1/15,319
Zambia,Southern,Chikankata,Rural,2/1/15,0
Zambia,Southern,Chikankata,Rural,3/1/15,390
Zambia,Southern,Chikankata,Rural,3/1/15,0
Zambia,Southern,Chikankata,Rural,4/1/15,274
Zambia,Southern,Chikankata,Rural,4/1/15,0
Zambia,Southern,Chikankata,Rural,5/1/15,215
Zambia,Southern,Chikankata,Rural,5/1/15,0
Zambia,Southern,Chikankata,Rural,6/1/15,94
Zambia,Southern,Chikankata,Rural,6/1/15,0
Zambia,Southern,Chikankata,Rural,7/1/15,66
Zambia,Southern,Chikankata,Rural,7/1/15,0
